-1.69,1.12
-1.19,0.98
-1.18,1.10
-1.41,1.10
-1.41,0.58
-1.11,0.76
-1.30,0.71
-1.15,0.63
-1.22,0.19
-1.05,0.23
-0.97,-0.23
-0.47,-0.18
-0.59,0.42
-0.60,-0.01
-0.73,-0.70
-0.41,-0.82
-0.63,-0.50
-1.13,-0.34
-1.75,-0.54
-2.00,-0.10
-1.47,-0.20
-1.22,-0.25
-1.05,-0.48
-1.56,-1.02
-1.45,-0.34
-1.36,-0.50
-0.79,-0.43
-0.76,-0.36
-0.80,-0.45
-1.23,-0.30
-1.26,0.06
-1.37,-0.51
-1.40,-0.00
-1.51,-0.27
-1.87,-0.58
-1.96,-0.94
-1.51,-1.02
-1.48,-0.59
-1.03,-0.65
-0.93,-0.43
-0.99,-0.97
-0.79,-0.70
-0.67,-0.98
-0.73,-1.15
-0.82,-0.76
-0.36,-0.56
-0.19,-0.36
-0.20,-0.38
-0.40,-0.40
0.28,-0.14
0.18,-0.28
-0.08,-0.17
0.04,-0.60
0.18,-0.77
0.61,-0.73
1.12,-0.86
1.04,-0.77
1.36,-0.60
0.99,-0.55
0.99,-0.68
0.80,-0.15
0.68,-0.41
0.87,-0.37
0.85,-0.13
1.00,-0.02
1.28,0.06
1.10,-0.05
0.94,0.01
0.62,-0.53
0.65,-0.94
0.06,-0.82
-0.15,-0.67
-0.31,-1.01
-0.68,-1.17
-0.77,-1.41
-0.85,-1.87
-0.85,-2.00
-0.91,-1.79
-0.58,-1.28
-1.04,-1.05
-0.68,-0.75
-0.96,-0.63
-0.40,-1.08
-0.26,-0.75
-0.47,-0.57
-0.79,-0.82
-1.04,-0.76
-1.06,-0.47
-1.35,-0.51
-1.06,-0.34
-1.45,-0.14
-1.60,-0.03
-1.51,0.34
-1.47,-0.22
-1.88,0.00
-1.96,0.34
-1.88,0.12
-1.55,-0.12
-2.00,0.50
-2.00,0.69
