-1.69,1.12
-1.05,0.96
-1.03,1.09
-1.26,1.07
-1.21,0.53
-0.86,0.80
-1.08,0.79
-0.91,0.75
-1.00,0.37
-0.83,0.53
-0.78,0.17
-0.33,0.38
-0.58,1.11
-0.68,0.66
-0.87,0.04
-0.58,0.11
-0.88,0.61
-1.40,0.85
-1.94,0.68
-2.00,1.18
-1.27,1.05
-0.96,0.98
-0.80,0.76
-1.35,0.27
-1.17,1.09
-1.05,0.91
-0.47,1.00
-0.54,1.08
-0.68,0.97
-1.17,1.13
-1.17,1.46
-1.24,0.79
-1.22,1.35
-1.29,1.01
-1.59,0.69
-1.56,0.40
-1.00,0.44
-0.97,0.98
-0.52,0.92
-0.52,1.16
-0.67,0.59
-0.54,0.94
-0.51,0.68
-0.67,0.56
-0.82,1.04
-0.40,1.23
-0.36,1.39
-0.49,1.29
-0.79,1.21
-0.16,1.43
-0.43,1.20
-0.80,1.28
-0.72,0.79
-0.63,0.66
-0.28,0.77
0.09,0.68
0.19,0.84
0.67,1.04
0.36,1.09
0.50,0.94
0.40,1.48
0.41,1.13
0.72,1.14
0.75,1.35
0.95,1.39
1.25,1.39
1.01,1.21
0.85,1.23
0.56,0.63
0.67,0.31
0.15,0.56
0.11,0.79
0.13,0.50
-0.07,0.44
-0.34,0.31
-0.55,-0.01
-0.64,-0.75
-0.77,-0.59
-0.49,-0.16
-1.06,-0.10
-0.68,0.02
-1.03,0.34
-0.46,0.02
-0.43,0.55
-0.75,0.81
-1.12,0.61
-1.34,0.74
-1.30,1.08
-1.52,1.03
-1.13,1.19
-1.50,1.35
-1.54,1.40
-1.35,1.68
-1.24,0.99
-1.60,1.21
-1.56,1.51
-1.37,1.18
-0.97,0.90
-1.59,1.54
-2.00,1.63
-1.52,1.54
